data,decision,judge,region,articles
"а нарушения денежного обязательства удовлетворяет исковые требования частично в пределах размера суммы неустойки, подлежащей взысканию (абзац шестой ответа). 3 Пунктом 6.5 договора предусмотрено право исполнителя взыскать с заказчика неустойку в размере 0,1% от стоимости просроченного платежа за каждый день просрочки, но не более 5% (т.е. 14 250 руб.). Размер процентов не превышает заданное значение, таким образом, исходя из верно определенного периода просрочки по каждому из актов, при отсутствии спора между сторонами по данного требованию, проценты подлежат взысканию с ответчика в пользу истца. Госпошлина относится на ответчика (абзац первый части 1 статьи 110 АПК РФ), учитывая удовлетворение требований истца судом в полном объеме. На основании статей 1, 8, 12, 307, 309, 310, 395, 702, 711, 720, 753 Гражданского кодекса Российской Федерации, руководствуясь статьями 9, 41, 65, 70, 71, 110, 112, 153, 156, 167, 170, 180, 181 Арбитражного процессуального кодекса Российской Федерации, суд",частично,Сорокин Владислав Петрович,Москва,"{'апк': [9, 41, 65, 70, 71, 110, 112, 153, 156, 167, 170, 180, 181]}"
"акт оказания истцом услуг (выполнения работ) и их стоимость подтверждены достоверными и достаточными доказательствами (акты оказанных услуг), о фальсификации которых ответчиком в порядке ст. 161 АПК РФ не заявлено. На день вынесения решения, в нарушение ст. 65 АПК РФ, ответчик доказательств оплаты задолженности не представил. Факт оказания услуг истцом по данным актам подтвержден, в связи с чем, суд считает требование истца о взыскании с ответчика основного долга в размере 3 038 925,60 руб. обоснованным, документально подтвержденным и подлежащим удовлетворению. В соответствии с положениями ст. 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны, в связи с чем, суд считает необходимым взыскать с ответчика в пользу истца государственную пошлину в размере 116 168,00 руб.. Руководствуясь статьями 110, 167 – 170, 176, 216 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",принято,А.С. Шайдуллина,Москва,{'апк': [259]}
"я от 02.12.2021 между ИП Дубровиным А.А. и ООО «Фермер Плюс», на основании которого ИП Дубровиным А.А. приобрел право требование к ООО «Сервис-ГАО», что подтверждается Решением Арбитражного суда г. Москвы от 21.11.2024 по делу № А40-122244/24. Также ИП Киму А. было отказано в иске о признании недействительным договора на оказание юридических услуг от 30.04.2020, заключенного между ООО Юридическая фирма «ЛЕГЭ» и ООО «Фермер Плюс», что подтверждается Решением Арбитражного суда г. Москвы от 20.11.2024 по делу № А40-122249/2024. Таким образом, доводы, приводимые в отзыве на исковое заявление, уже были предметом рассмотрения иных дел, в которых данные доводы были опровергнуты. В соответствии со ст. 110 АПК РФ расходы по госпошлине, понесенные истцом, подлежат взысканию с ответчика в полном объеме от суммы иска, поскольку требования, заявленные в иске, обоснованы. На основании ст.ст. 11, 12, 16, 309, 310, 395 ГК РФ, руководствуясь ст.ст. 16, 64, 65, 69, 110, 167-171, 176, 180, 181 АПК РФ суд",принято,Чекмарева Наталия Алексеевна,Москва,{'гк': [395]}
"своему внутреннему убеждению, основанному на всестороннем, полном, объективном и непосредственном исследовании имеющихся в деле доказательств. Суд, исследовав и оценив представленные доказательства, считает исковые требования обоснованными и подлежащими удовлетворению в части. В соответствии со статьями 102, 110 Арбитражного процессуального кодекса Российской Федерации расходы по государственной пошлине относятся на стороны пропорционально размеру удовлетворенных исковых требований. На основании изложенного, исходя из того, что судом частично отказано в удовлетворении исковых требований, расходы по оплате государственной пошлины подлежат отнесению на истца в размере 29,79 руб., на ответчика – 14126,21 руб. По ходатайству лиц, участвующих в деле, копии решения на бумажном носителе могут быть направлены им в пятидневный срок со дня поступления соответствующего ходатайства. Руководствуясь статьями 102, 110, 167-170 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,Е.А. Хорошун,Тамбов,"{'апк': [4, 9, 102, 110, 167, 168, 169, 170], 'гк': [8, 12, 309, 310, 329, 330, 421, 779, 781]}"
"ведением осмотра доказательств на месте, расходы на оплату услуг адвокатов и иных лиц. оказывающих юридическую помощь (представителей), и другие расходы, понесенные лицами, участвующими в деле, в связи с рассмотрением дела в арбитражном суде. В соответствии со ст. 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт взыскиваются арбитражным судом с проигравшей стороны, причем расходы взыскиваются арбитражным судом в разумных пределах. Почтовые расходы в общем размере 114 руб. 00 коп. истцом документально подтверждены, связаны с рассмотрением настоящего дела, в связи с чем, подлежат взысканию с ответчика в полном объеме. В соответствии со ст.ст. 102, 110 АПК РФ госпошлина по иску относится на сторон соответственно удовлетворенным исковым требованиям. С учетом изложенного, на основании ст.ст. 11, 12, 307, 309, 310, 314, 330, 331, 454, 486, 506-524 ГК РФ, руководствуясь ст.ст. 4, 9, , 65, 71, 75, 102, 110, 132, 176, 180, 181 АПК РФ, суд",частично,Чекмарева Наталия Алексеевна,Москва,{'гк': [333]}
"тельства встречного предоставления в виде предоставления подарочного сертификата истцу, который по своему усмотрению был использован истцом. Предъявляя к ответчику требование о взыскании задолженности, обусловленных неосмотрительными и неразумными действиями самого истца, истец фактически пытается переложить на ответчика собственные предпринимательские риски, что не предусмотрено действующим законодательством. Таким образом, основания для расторжения договора №0149730659-0001 от 05.12.2023 и взыскания неосновательного обогащения в размере 163 298 руб. с ответчика отсутствуют. С учетом изложенного, исковые требования истца являются недоказанными, необоснованными и удовлетворению не подлежат. В соответствии со ст. 110 АПК РФ расходы по госпошлине относятся на истца, поскольку требования, заявленные в иске, не обоснованы. На основании ст.ст. 11, 12, 309, 310, 450, 452, 453, 457, 487, 506, 1102, 1105 ГК РФ, руководствуясь ст.ст. 64, 65, 104, 110, 123, 156, 167-171, 176, 180, 181 АПК РФ суд",отказано,Чекмарева Наталия Алексеевна,Москва,{}
"счета 0,1% в день от размера невыполненного денежного обязательства, что по расчету истца составляет 159.711руб.57коп. за период с 04.10.2024 по 12.02.2025, и далее по день фактической оплаты . Размер неустойки судом проверен, признан правильным и соответствующим последствиям нарушения обязательства, в связи с чем подлежащим взысканию с ответчика в судебном порядке. Согласно п. 65. Постановления Пленума Верховного Суда РФ № 7 от 24.03.2016г. по смыслу статьи 330 ГК РФ, истец вправе требовать присуждения неустойки по день фактического исполнения обязательства (в частности, фактической уплаты кредитору денежных средств, передачи товара, завершения работ). Таким образом, суд приходит к выводу о начислении неустойки за период с 13.02.2025 по дату фактической оплаты долга. На основании ст. 110 АПК РФ расходы истца по оплате государственной пошлины относятся на ответчика. Руководствуясь ст. ст. 309, 310, 330, 486, 506, 516 ГК РФ, ст. ст. 65,70, 71, 75, 110, 123, 156, 167-171, 176 АПК РФ, суд",частично,Наталья Петровна,Москва,{}
"опущение взыскания несоразмерных нарушенному праву сумм, а также исходя из критериев разумности, соразмерности, учитывая сложность спора, суд считает, что сумма расходов на оплату услуг представителя подлежит частичному удовлетворению в размере 16 000 руб., а именно: - 8 000 руб. за составление искового заявления; - 8 000 руб. за участие представителя в судебном заседании. Истец оплатил государственную пошлину в размере 8 161 руб., что подтверждается платежными поручениями от 19.08.2024 № 386 на сумму 7 161 руб. и от 09.09.2024 № 416 на сумму 1 000 руб. 5 Согласно заявленным требованиям (208 072,63 + 22 458,67 = 230531,30) государственная пошлина подлежит уплате в размере 7 611 руб. Поскольку требования истца удовлетворены, то государственную пошлину необходимо взыскать с ответчика в пользу истца в размере 7 611 руб., а 550 руб. подлежат возврату из федерального бюджета (ст.110 АПК РФ). Руководствуясь статьями 110, 167-171, 176 Арбитражного процессуального кодекса Российской Федерации,",частично,Р.Ю. Савин,Краснодар,"{'апк': [110, 167, 168, 169, 170, 171, 176]}"
"ленный товар не оплачен, задолженность составила 27.368.301руб.20коп. и до настоящего времени им не погашена. Вопреки приведенным доводам ответчика по УПД №9ДТ от 29.09.2023, ответчик подписал спорный УПД без возражений. Обнаружив недопоставку, оно не уведомило незамедлительно об этом истца, не пригласил поставщика для составления акта как то, как сторонами согласовано в 2.4 договора, претензию предъявило лишь в 2024г., по истечении практически года после спорной поставки. 2 Учитывая изложенное, в действиях ответчика усматривается односторонний отказ от исполнения обязательств, что в соответствии со ст. 310 ГК РФ не допускается, следовательно, требование истца о взыскании задолженности в размере 27.368.301руб.20коп. является обоснованным и подлежит удовлетворению в судебном порядке. На основании ст. 110 АПК РФ расходы по оплате государственной пошлины относятся на ответчика. Руководствуясь ст. ст. 309, 310, 486, 506, 516 ГК РФ, ст. ст. 65,70,71, 110, 123, 156, 167- 171, 176 АПК РФ, суд",принято,Наталья Петровна,Москва,{}
"ный суд оценивает относимость, допустимость, достоверность каждого доказательства в отдельности, а также достаточность и взаимную связь доказательств в их совокупности. Исследовав и оценив представленные доказательства, исходя из предмета и оснований заявленных исковых требований, с учетом положений ст. 71 Арбитражного процессуального кодекса Российской Федерации, суд приходит к выводу, что требования истца подлежат удовлетворению в части. В соответствии со ст.ст. 102 и 110 АПК РФ госпошлина по иску относится на ответчика. Согласно п. 9 Постановления Пленума ВАС РФ от 20.03.1997 г. № 6 при уменьшении арбитражным судом размера неустойки на основании статьи 333 Гражданского кодекса Российской Федерации расходы истца по государственной пошлине подлежат возмещению ответчиком, исходя из суммы неустойки, которая подлежала бы взысканию без учета ее уменьшения. С учетом изложенного, на основании ст.ст. 307, 309, 310, 330 ГК РФ, руководствуясь ст.ст. 102, 110, 167-171, 176, 180, 181 АПК РФ, суд",отказано,Жданова Ю.А,Москва,{'гк': [333]}
"нных исковых требований. Исковые требования удовлетворены судом частично с учетом снижения неустойки на основании статьи 333 ГК РФ. В соответствии с абзацем 3 пункта 9 постановления Пленума Высшего Арбитражного Суда Российской Федерации от 22.12.2011 № 81 «О некоторых вопросах применения статьи 333 ГК РФ» если размер заявленной неустойки снижен арбитражным судом по правилам статьи 333 ГК РФ на основании заявления ответчика, расходы истца по государственной пошлине не возвращаются в части сниженной суммы из бюджета и подлежат возмещению ответчиком исходя из суммы неустойки, которая подлежала бы взысканию без учета ее снижения. Учитывая, что требования истца были удовлетворены частично, суд взыскивает с истца в пользу ответчика судебные расходы в размере, пропорциональном удовлетворенным требованиям, а именно: 72 000 руб. (79,5% от 90 566 руб. (30 000 руб. + 60 566 руб.)). Руководствуясь статьями 110, 167-171, 176 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",частично,Музюкин Денис Викторович,Барнаул,"{'апк': [49, 110, 167, 168, 169, 170, 171, 176, 227], 'гк': [333, 421]}"
"вании изложенного, исковые требования подлежат удовлетворению в полном объеме. Согласно статье 168 Арбитражного процессуального кодекса Российской Федерации при принятии решения арбитражным судом суд решает вопрос о распределении судебных расходов. В соответствии со статьей 101 Арбитражного процессуального кодекса Российской Федерации судебные расходы состоят из государственной пошлины и судебных издержек. Согласно статье 110 Арбитражного процессуального кодекса Российской Федерации, судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. При подаче иска Истец оплатил государственную пошлину в сумме 2000,00 руб. платежным поручением №71490 от 28.08.2024г. Государственная пошлина от уточненных исковых требований составляет 2000,00 руб. и подлежит взысканию с ответчика в пользу истца. Руководствуясь статьями п.4 части 1 статьи 148, 110, 167-171 Арбитражного процессуального кодекса Российской Федерации, суд",отказано,Павлова Наталья Владимировна,Саратов,"{'апк': [9, 65, 101, 110, 148, 167, 168, 169, 170, 171, 177], 'гк': [1, 8, 307, 309, 310, 421, 426]}"
"дом рассмотрено и отклонено. В соответствии с частью 1 статьи 110 АПК РФ судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. В рассматриваемом случае судебный акт принят не в пользу ОАО «Рыбинская городская электросеть», в связи с чем понесенные им судебные расходы возмещению не подлежат. На основании статьи 110 АПК РФ судебные расходы по уплате государственной пошлины относятся на ОАО «Рыбинская городская электросеть». Излишне уплаченная государственная пошлина подлежит возврату истцу из бюджета. Сторонам разъясняется, что решение, выполненное в форме электронного документа, направляется лицам, участвующим в деле, посредством его размещения на официальном сайте арбитражного суда в информационно-телекоммуникационной сети «Интернет» в режиме ограниченного доступа (часть 1 статьи 177 АПК РФ). Руководствуясь статьями 110, 167-170 Арбитражного процессуального кодекса Российской Федерации, арбитражный суд",отказано,Анастасия Григорьевна,Ярославль,"{'апк': [49, 110, 167, 168, 169, 170], 'гк': [8, 1064]}"
"ваний. Ответчик в судебное заседание не явился, письменного отзыва в нарушение положений статьи 131 АПК РФ в материалы дела не представил. Учитывая, что требования Истца обоснованы, документально подтверждены, исковые требования подлежат удовлетворению в полном объеме. В соответствии с частью 1 статьи 110 Арбитражного процессуального кодекса Российской Федерации судебные расходы, понесенные лицами, участвующими в деле, в пользу которых принят судебный акт, взыскиваются арбитражным судом со стороны. Согласно статье 101 Арбитражного процессуального кодекса Российской Федерации судебные расходы состоят из государственной пошлины и судебных издержек, связанных с рассмотрением дела арбитражным судом. В связи с удовлетворением исковых требований, с ответчика в пользу истца подлежат взысканию судебные расходы по оплате государственной пошлины в размере 46505,00 руб., оплаченные Истцом по платежному поручению №75420 от 03.10.2024г. Руководствуясь 101-106,110, 167-171, 176, 180, 181 АПК РФ, суд",частично,Павлова Наталья Владимировна,Саратов,"{'апк': [65, 71, 101, 110, 121, 123, 124, 131, 156, 177], 'гк': [428, 824, 831]}"
